Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption,TotalUsage
1,0,Saturday,No,0.06333009718902284,43.43158120480281,0.1988646863076867,0.1459103112676436,On,Off,-1.3571789498983349,75.36437339539214,1
1,1,Saturday,No,0.9156480366323365,54.225918580233085,-0.32866735647564327,-1.230602059181823,On,On,0.7241263924211528,83.40185495035139,2
1,2,Saturday,No,1.2354464363694586,58.907657743033184,0.8471397130102409,-0.8864739665694564,Off,Off,-0.9214078944943397,78.27088774061066,0
1,3,Saturday,No,-1.6000513224535062,50.3716371457499,-0.18793422153358105,-1.230602059181823,Off,On,-0.7183988871705088,56.51985048548002,1
1,4,Saturday,No,-0.6081015012437638,51.40142134361278,-1.4099202144656395,1.5224226817171103,On,Off,-1.3247121011263756,70.81173246793318,1
1,5,Saturday,Yes,1.5220802792429873,36.82426323380886,1.2428650277978213,0.49003840388001024,Off,Off,0.2649042032925311,84.32188519433718,0
1,6,Saturday,Yes,0.060612142487408045,35.70962155267958,0.33978828803019356,0.49003840388001024,On,Off,0.989884997352574,76.16579090213895,1
1,7,Saturday,Yes,-0.5799941354937247,31.67991978011051,0.4317448069032472,1.1782945891047436,Off,Off,1.3451005536321006,74.1319061773031,0
1,8,Saturday,No,0.14637348117206644,46.399364049557406,-0.9112168992855484,0.49003840388001024,On,Off,-1.4081943611318015,78.20623587095885,1
1,9,Saturday,No,-0.8990259368133589,32.41846388370173,0.6755545768449708,-1.230602059181823,On,Off,1.5223559194082026,77.99221370196022,1
1,10,Saturday,Yes,1.0251916598618536,36.45147178564109,-0.5661069377220296,-0.8864739665694564,Off,Off,-1.6217517056656758,82.27443448386548,0
1,11,Saturday,Yes,-0.5011803963264833,30.527342157466457,0.3309765650736755,0.49003840388001024,On,On,0.4727278166069095,73.27866950427382,2
1,12,Saturday,Yes,0.14535062629453244,47.60101803425757,-0.8965139747293153,-1.230602059181823,On,Off,0.7204195222240222,84.14477565753458,1
1,13,Saturday,Yes,-1.607196656863307,41.861641594454376,1.0188713730087116,-0.8864739665694564,Off,Off,-0.9628798773791482,60.0225185622203,0
1,14,Saturday,Yes,0.5868078655653407,37.29787044961106,-0.2990407261358696,0.49003840388001024,Off,Off,-0.341517026255622,81.18318756246354,0
1,15,Saturday,No,-0.935952281874982,56.09917871988325,-1.237034364093161,1.1782945891047436,Off,On,-0.4696775209798095,74.081256288494,1
1,16,Saturday,No,1.4397288430750794,56.95417356701815,0.3870749020081064,-1.5747301517941896,On,On,0.02761046889124829,89.4982076601557,2
1,17,Saturday,Yes,-0.3959972439014412,42.24584548342733,-0.3200353739434704,-1.230602059181823,On,Off,-1.229834697298522,72.87244263642421,1
1,18,Saturday,No,0.8474350043100558,47.17242967942455,1.1080748901426796,1.5224226817171103,On,Off,0.4901380429936527,83.8998965998896,1
1,19,Saturday,Yes,0.8826825009454158,36.14029374467184,-0.8728552114507282,-0.19821778134472307,On,On,-0.693864927682331,82.07757940317406,2
1,20,Saturday,Yes,1.2356824137988192,59.931894786121376,-1.0103149833472156,1.5224226817171103,On,On,-0.38195394977245173,94.236287728335,2
1,21,Saturday,Yes,-1.2644653310645901,30.41800645418693,0.5789549642245747,-0.5423458739570898,Off,Off,-0.07470312828982187,59.672380432970826,0
1,22,Saturday,No,-0.6398106797657558,43.63838293291814,-0.9521111855572353,-1.230602059181823,Off,Off,-1.1902801453320484,70.23522761734993,0
1,23,Saturday,No,-0.06502500126183272,57.216848654263046,-0.8655027447051407,0.49003840388001024,On,On,-1.5881021808969853,78.39420777459377,2
1,0,Sunday,No,0.5860984524556951,46.19408776943607,0.09035382030003394,1.1782945891047436,On,Off,0.36913437797603904,87.84164465666763,1
1,1,Sunday,Yes,-0.7795486938627765,57.7495719227239,-1.593887639741467,1.1782945891047436,Off,On,-0.6874361477396793,72.92984426206768,1
1,2,Sunday,No,0.6788677284813138,52.637571884657305,0.661345293787384,1.5224226817171103,On,On,0.9665839477840094,86.66909405376278,2
1,3,Sunday,No,0.5336989017987124,43.330311963375614,-1.3009796132884446,0.834166496492377,Off,On,-1.3387536118456727,80.41142775984329,1
1,4,Sunday,Yes,-1.0280702202744179,56.855188125958406,-0.7430019582987868,-0.5423458739570898,Off,On,1.1263043608236742,64.21209800102363,1
1,5,Sunday,No,-0.5675702483270311,46.07387943210247,0.48481227230317964,-0.8864739665694564,Off,On,0.335222005358061,74.16033755004982,1
1,6,Sunday,Yes,1.291703163575677,31.803130453234026,1.2957193342977897,0.1459103112676436,On,On,1.0121797950301012,81.04958057295511,2
1,7,Sunday,No,-1.3524585300527892,51.14700701801437,-1.4011429632964256,-1.230602059181823,On,Off,0.7278087591238982,70.30817192579988,1
1,8,Sunday,No,0.8281844841176347,34.9409910367269,-0.05497874024371479,1.5224226817171103,On,Off,-1.152830445060916,82.28439185280472,1
1,9,Sunday,No,-1.421503364466509,50.14503354220139,-1.606660306988044,0.49003840388001024,Off,On,-1.6195714301664885,59.847392688307885,1
1,10,Sunday,Yes,0.7785917780043203,42.93605505297437,1.2592445097022669,-0.19821778134472307,On,Off,-1.531201060274249,82.50403686398842,1
1,11,Sunday,Yes,0.8148590398036225,32.394788065588216,-1.2014725458470643,1.5224226817171103,On,Off,-0.7683436064896487,82.78244589126273,1
1,12,Sunday,Yes,-0.28528718011321014,54.09504887445641,1.1699006777538792,0.834166496492377,Off,Off,0.6399674102550158,74.67411328167944,0
1,13,Sunday,No,1.6331460887726605,53.34075278909026,1.4218951800257889,-1.5747301517941896,On,Off,1.162813222072168,86.88913818269737,1
1,14,Sunday,Yes,-0.13988745459649093,42.27647348582312,0.5033018431129519,0.834166496492377,On,Off,-1.480323494665051,78.54242641942929,1
1,15,Sunday,Yes,-1.0021911700536172,48.63351462602176,1.5405416902456632,-0.19821778134472307,On,On,0.5478889505205149,77.22845715853467,2
1,16,Sunday,Yes,-0.4703658749007974,52.37155796010059,0.03331539915846755,0.834166496492377,On,Off,-0.7569313275459862,73.73515145603137,1
1,17,Sunday,Yes,0.7237827883663142,43.12086624044412,-0.7192375473452336,1.1782945891047436,On,Off,0.19613426903143596,91.84340824868656,1
